county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
TRINITY,H,16502,17847,17981,17473,18283,19131,0,0,0,0,0,0,0.0,None,0,0,0
TYLER,I,22288,22396,22396,22396,22396,22396,0,0,0,0,0,0,0.0,None,0,0,0
UPSHUR,D,42696,46129,49089,52128,54915,57519,203,210,221,285,352,416,3.5,Low,0,0,0
UPTON,F,3690,3990,4128,4272,4360,4421,0,0,0,0,0,0,0.0,None,0,0,0
UVALDE,L,28846,31548,33861,36257,38543,40734,43173,43773,44193,44779,45420,46079,59.45,Critical,0,0,0
VAL VERDE,J,54694,60389,65902,71566,76960,82161,4661,5311,5923,6525,7108,8045,33.7,Severe,0,0,0
VAN ZANDT,D,58455,64146,68496,72817,76407,79478,314,620,664,730,822,912,6.49,Low,0,0,0
VICTORIA,L,93857,100260,105298,109785,113470,116522,42123,44159,44868,45602,46313,46924,58.66,Critical,0,0,0
WALKER,H,71800,75243,77724,80050,81859,83324,0,0,0,0,0,0,0.0,None,0,0,0
WALLER,H,52538,63443,75535,88736,103314,119122,653,1126,1678,2343,3261,4488,6.6,Low,0,0,0
